Restaurant Name,Restaurant ID,Address,Category,Price,Ratings,,,,,,,,,,,
Good Dish,r279,2 W 58th St_New York_ NY 10019_,2,3,5,,,,,,,,,,,
Gotham Bar and Grill,r280,12 E 12th St_New York_ NY 10003_,2; 5,4,4.5,,,,,,,,,,,
Graffiti Food & Wine Bar,r281,224 E 10th St_New York_ NY 10003_,2; 5,3,4,,,,,,,,,,,
Gramercy Tavern,r282,42 E 20th St_New York_ NY 10003_,2,4,4.5,,,,,,,,,,,
Grand Banks,r283,Pier 25_Hudson River Park_New York_ NY 10013_,2,3,4,,,,,,,,,,,
Grand Tier Restaurant,r284,30 Lincoln Center Plz_New York_ NY 10184_,2,3,4,,,,,,,,,,,
Grazie,r285,26 E 84th St_New York_ NY 10028_,7,2,4,,,,,,,,,,,
Great Hall Balcony Bar,r286,1000 5th Ave_Metropolitan Museum of Art_New York_ NY 10028_,5,2,4.5,,,,,,,,,,,
Gunter Seeger,r287,641 Hudson_New York_ NY 10014_,2,4,4,,,,,,,,,,,
Hakata Tonton,r288,61 Grove St_New York_ NY 10014_,9,2,4,,,,,,,,,,,
Halifax,r289,225 River St_Fl 1_Hoboken_ NJ 07030_,0; 4,3,4,,,,,,,,,,,
Han Dynasty,r290,90 3rd Ave_New York_ NY 10003_,1; 5,2,4,,,,,,,,,,,
HandCraft Kitchen & Cocktails,r291,367 3rd Ave_New York_ NY 10016_,5,2,4,,,,,,,,,,,
Harding's,r292,32 E 21st St_New York_ NY 10010_,2; 5,2,4,,,,,,,,,,,
Hatsuhana Sushi Restaurant,r293,17 E 48th St_New York_ NY 10017_,9,3,4,,,,,,,,,,,
HAVEN Riverfront Restaurant and Bar,r294,2 Main St_Ste G_Edgewater_ NJ 07020_,3,3,4,,,,,,,,,,,
Haymaker Bar and Kitchen,r295,252 W 29th St_New York_ NY 10001_,5,2,4,,,,,,,,,,,
Hearth,r296,403 E 12th St_New York_ NY 10009_,2; 4,3,4,,,,,,,,,,,
Heidi's House By The Side Of The Road,r297,308 E 78th St_New York_ NY 10075_,5,2,4.5,,,,,,,,,,,
Hell's Kitchen,r298,754 9th Ave_New York_ NY 10019_,11,2,4,,,,,,,,,,,
Hendriks,r299,557 Third Ave_New York_ NY 10016_,2; 3,2,4,,,,,,,,,,,
Her Name Is Han,r300,17 E 31st St_New York_ NY 10016_,10,2,4,,,,,,,,,,,
High Street On Hudson,r301,637 Hudson St_New York_ NY 10014_,2; 4; 5,2,4,,,,,,,,,,,
Hillstone Restaurant,r302,153 E 53rd St_New York_ NY 10022_,2,3,4,,,,,,,,,,,
Hourglass Tavern,r303,373 W 46th St_New York_ NY 10036_,0; 5,2,4,,,,,,,,,,,
Houseman,r304,508 Greenwich St_New York_ NY 10013_,2; 5,3,4,,,,,,,,,,,
Hudson Bar Room,r305,444 10th Ave_New York_ NY 10001_,0; 5,,,,,,,,,,,,,
Hudson Clearwater,r306,447 Hudson St_New York_ NY 10014_,2; 4; 5,3,4,,,,,,,,,,,
Hudson Hound,r307,575 Hudson St_New York_ NY 10014_,5,2,4.5,,,,,,,,,,,
Icelandic Fish & Chips,r308,28 7th Ave S_New York_ NY 10014_,3,2,4.5,,,,,,,,,,,
Ichabod's,r309,15 Irving Pl_New York_ NY 10003_,2; 4,2,4,,,,,,,,,,,
Ikinari Steak East Village,r310,90 E 10th St_New York_ NY 10003_,9,2,4,,,,,,,,,,,
Il Bambino,r312,48 W 8th St_New York_ NY 10011_,7,2,4.5,,,,,,,,,,,
IL Brigante,r313,214 Front St_New York_ NY 10038_,7,2,4,,,,,,,,,,,
Il Corallo Trattoria,r314,176 Prince St_New York_ NY 10012_,7,2,4,,,,,,,,,,,
Il Corso,r315,54 W 55th St_New York_ NY 10019_,7,3,4,,,,,,,,,,,
Il Gattopardo,r316,13-15 W 54th St_New York_ NY 10019_,7,3,4,,,,,,,,,,,
Il Tinello Ristorante Italiano,r317,16 W 56th St_New York_ NY 10019_,7,4,4.5,,,,,,,,,,,
Infirmary,r318,1720 2nd Ave_New York_ NY 10128_,3; 5,2,4,,,,,,,,,,,
Innside By Melia,r319,132 W 27th St_New York_ NY 10001_,7,3,4,,,,,,,,,,,
International Wings Factory,r320,1762 1st Ave,0,2,4.5,,,,,,,,,,,
Ipanema Restaurant,r321,43 W 46th St_New York_ NY 10036_,15,2,4,,,,,,,,,,,
Ippudo Westside,r322,321 W 51st St_New York_ NY 10019_,16,2,4,,,,,,,,,,,
Irvington,r323,201 Park Ave S_New York_ NY 10003_,2; 5,3,4,,,,,,,,,,,
Isle of Capri,r324,1028 3rd Ave_New York_ NY 10065_,7,3,4,,,,,,,,,,,
Izakaya,r325,326 E 6th St_New York_ NY 10003_,18,2,4,,,,,,,,,,,
Izakaya MEW,r326,53 W 35th St_New York_ NY 10001_,18,2,4,,,,,,,,,,,
Izakaya NoMad,r327,13 W 26th St_New York_ NY 10010_,18,2,4,,,,,,,,,,,
Jack's Wife Freda,r328,224 Lafayette St_New York_ NY 10012_,2,2,4,,,,,,,,,,,
Jack's Wife Freda,r329,50 Carmine St_New York_ NY 10014_,2,2,4,,,,,,,,,,,
Jackson's Eatery | Bar,r330,10-37 Jackson Ave_Long Island City_ NY 11101_,0; 5,2,4,,,,,,,,,,,
Jajaja,r331,162 E Broadway,11; 7,2,4.5,,,,,,,,,,,
Jams,r332,1414 Ave Of The Americas_New York_ NY 10019_,2; 4; 5,3,3.5,,,,,,,,,,,
Jane,r333,100 W Houston St_New York_ NY 10012_,0,2,4,,,,,,,,,,,
Jasmine Restaurant,r334,216 E 49th St_New York_ NY 10017_,9,2,4,,,,,,,,,,,
Jeffrey's Grocery,r335,172 Waverly Pl_New York_ NY 10014_,3; 5,2,4,,,,,,,,,,,
Jimmy's Corner,r336,140 W 44th St_New York_ NY 10036_,5,1,4,,,,,,,,,,,
Jin Ramen,r337,462 Amsterdam Ave_New York_ NY 10024_,16; 5,2,4,,,,,,,,,,,
Joe Allen,r338,326 W 46th St_New York_ NY 10036_,0,2,4,,,,,,,,,,,
Joe's Pizza,r339,7 Carmine St,14,1,4,,,,,,,,,,,
Joe's Shanghai,r340,9 Pell St_New York_ NY 10013_,9,2,4,,,,,,,,,,,
Jones Wood Foundry,r341,401 E 76th St_New York_ NY 10021_,5,2,4,,,,,,,,,,,
Jongro BBQ,r342,22 W 32nd St_New York_ NY 10001_,10,2,4,,,,,,,,,,,
Joseph Leonard,r343,170 Waverly Pl_New York_ NY 10014_,6;,2,4,,,,,,,,,,,
Juice Generation,r344,644 9th Ave,7,2,4,,,,,,,,,,,
Jun-Men Ramen Bar,r345,249 9th Ave_New York_ NY 10001_,16,2,4,,,,,,,,,,,
Juniper,r346,237 W 35th St_New York_ NY 10001_,2,2,4,,,,,,,,,,,
Kashkaval Garden,r347,852 9th Ave_New York_ NY 10019_,8,2,4,,,,,,,,,,,
KazuNori  | The Original Hand Roll Bar,r348,15 W 28th St_New York_ NY 10001_,9,2,4.5,,,,,,,,,,,
Kefi,r349,505 Columbus Ave_New York_ NY 10024_,8,2,3.5,,,,,,,,,,,
Kiki's,r350,130 Division St_New York_ NY 10002_,8,2,4.5,,,,,,,,,,,
Kilo,r351,857 9th Ave_New York_ NY 10019_,5,2,4,,,,,,,,,,,
Kingsley,r352,190 Ave B_New York_ NY 10009_,6;5,3,4,,,,,,,,,,,
Kitty's kitchen,r353,850 12th Ave_New York_ NY 10019_,1; 11,,,,,,,,,,,,,
Kobeyaki,r354,293 7th Ave_New York_ NY 10001_,9,2,4,,,,,,,,,,,
Korali Estiatorio,r355,1662 3rd Ave_New York_ NY 10128_,8,3,4,,,,,,,,,,,
Kori Tribeca,r356,253 Church St_New York_ NY 10013_,10,2,4,,,,,,,,,,,
Korilla BBQ,r357,55th and Broadway,10,1,4,,,,,,,,,,,
Kotobuki Manhattan,r358,56 3rd Ave_New York_ NY 10003_,9,2,4,,,,,,,,,,,
Kura,r359,130 St Marks Pl_New York_ NY 10009_,9,4,4.5,,,,,,,,,,,
L'Artusi,r360,228 W 10th St_New York_ NY 10014_,7,3,4.5,,,,,,,,,,,
La Cerveceria,r361,65 2nd Ave_New York_ NY 10003_,15,2,4,,,,,,,,,,,
La Diagonal,r362,185 St Nicholas Ave_New York_ NY 10026_,11; 5,2,4,,,,,,,,,,,
La Gioconda,r363,226 E 53rd St_New York_ NY 10022_,7,2,4,,,,,,,,,,,
La Goulette,r364,159 Grand St,8,2,4.5,,,,,,,,,,,
La Grenouille,r365,3 E 52nd St_New York_ NY 10022_,6,4,4,,,,,,,,,,,
La Lanterna di Vittorio,r366,129 MacDougal St_New York_ NY 10012_,7,2,4,,,,,,,,,,,
La Masseria,r367,235 W 48th St_New York_ NY 10036_,7,3,4,,,,,,,,,,,
Land,r368,450 Amsterdam Ave_New York_ NY 10024_,12,2,4,,,,,,,,,,,
Larb Ubol,r369,480 9th Ave_New York_ NY 10018_,12,2,4,,,,,,,,,,,
Latham House,r370,299 Marin Blvd_Jersey City_ NJ 07302_,2,2,4,,,,,,,,,,,
Latin Bites,r371,419 E 70th St_New York_ NY 10021_,15; 0,1,4.5,,,,,,,,,,,
Le Bernardin,r372,155 W 51st St_The Equitable Bldg_New York_ NY 10019_,6,4,4.5,,,,,,,,,,,
Le Botaniste,r373,833 Lexington Ave_New York_ NY 10065_,5,2,4.5,,,,,,,,,,,
Le Pif,r374,2058 Broadway Ave_New York_ NY 10023_,6; 5,2,4,,,,,,,,,,,
Le Pif,r375,465 W 23rd St_New York_ NY 10011_,6; 5; 4,2,4.5,,,,,,,,,,,
Left Bank,r376,117 Perry St_New York_ NY 10014_,2,3,4,,,,,,,,,,,
Lelabar,r377,422 Hudson St_New York_ NY 10014_,5,2,4,,,,,,,,,,,
Lena's Italian Kitchen,r378,551 2nd Ave_New York_ NY 10016_,7,2,4.5,,,,,,,,,,,
Library Bar at Hudson,r379,Hudson Hotel_358 W 58th St_New York_ NY 10019_,5,3,4,,,,,,,,,,,
LIC Market,r380,21-52 44th Dr_Long Island City_ NY 11101_,4; 7,2,4,,,,,,,,,,,
Lido,r381,2168 Frederick Douglass Blvd_New York_ NY 10026_,7,2,4,,,,,,,,,,,
Lillie's Victorian Establishment,r382,249 W 49th St_New York_ NY 10019_,5,2,4,,,,,,,,,,,
Lilly's Craft and Kitchen,r383,675 9th Ave_New York_ NY 10036_,2; 4,2,4,,,,,,,,,,,
Limani,r384,45 Rockerfeller Plz_New York_ NY 10111_,8,3,4,,,,,,,,,,,
Lincoln Ristorante,r385,142 W 65th St_New York_ NY 10023_,7,4,4,,,,,,,,,,,
Lincoln Square Steak,r386,208 W 70th St_New York_ NY 10023_,0,3,4,,,,,,,,,,,
Liquiteria,r387,170 2nd Ave,7,1,4,,,,,,,,,,,
Little Alley,r388,550 3rd Ave_New York_ NY 10016_,9,2,4,,,,,,,,,,,
Little Frog Bistro & Bar,r389,322 E 86th St_New York_ NY 10028_,6,3,3.5,,,,,,,,,,,
Little Park,r390,85 W Broadway_New York_ NY 10007_,3; 7,3,4,,,,,,,,,,,
Locanda Verde,r391,377 Greenwich St_New York_ NY 10013_,7,3,4,,,,,,,,,,,
Loi Estiatorio,r392,132 W 58th St_New York_ NY 10019_,8,3,4.5,,,,,,,,,,,
Lokal 83 Mediterranian Kitchen,r393,473 Columbus Ave_New York_ NY 10024_,2,2,4,,,,,,,,,,,
Lolita's Kitchen,r394,1364 Lexington Ave_New York_ NY 10128_,11,1,4,,,,,,,,,,,
LoLo's Seafood Shack,r395,303 W 116th St_New York_ NY 10026_,3; 5,2,4,,,,,,,,,,,
Long Hall At Pier A,r396,22 Battery Pl_New York_ NY 10004_,5,2,4,,,,,,,,,,,
Loopy Doopy Rooftop Bar,r397,102 N End Ave_Conrad New York Hotel_New York_ NY 10282_,5,3,3.5,,,,,,,,,,,
Loring Place,r398,21 W 8th St_New York_ NY 10011_,2,3,4.5,,,,,,,,,,,
Los Mariscos,r399,409 W 15th St_New York_ NY 10011_,3; 11,1,4.5,,,,,,,,,,,
Los Tacos No.1,r400,75 9th Ave_New York_ NY 10011_,11,1,4.5,,,,,,,,,,,
LuAnne's Wild Ginger All-Asian Vegan,r401,380 Broome St,"7, 9",2,4,,,,,,,,,,,
Luke's Lobster FiDi,r402,26 S William St_New York_ NY 10004_,3,2,4.5,,,,,,,,,,,
Lure Fishbar New York,r403,142 Mercer St_Lower Level_New York_ NY 10012_,9; 3,3,4,,,,,,,,,,,
Má Pêche,r404,Chambers Hotel_15 W 56th St_New York_ NY 10019_,2; 4,3,3.5,,,,,,,,,,,
Macchina,r405,2758 Broadway 106th_New York_ NY 10025_,7; 5,2,3.5,,,,,,,,,,,
Made Nice,r406,8 W 28th St_New York_ NY 10001_,2,2,4,,,,,,,,,,,
Maiella,r407,4610 Center Blvd_Long Island City_ NY 11109_,7,3,4.5,,,,,,,,,,,
Maison Pickle,r408,2313 Broadway_New York_ NY 10024_,5,2,4,,,,,,,,,,,
Malatesta Trattoria,r409,649 Washington St_New York_ NY 10014_,7,2,4,,,,,,,,,,,
Maloney & Porcelli,r410,37 E 50th St_New York_ NY 10022_,0,3,4,,,,,,,,,,,
Mamasita Bar & Grill,r411,818 10th Ave_New York_ NY 10019_,11; 5,2,4,,,,,,,,,,,
MAMO Restaurant,r412,323 W Broadway_New York_ NY 10013_,7,3,4,,,,,,,,,,,
Marc Forgione,r413,134 Reade St_New York_ NY 10013_,2,3,4,,,,,,,,,,,
Margon,r414,136 W 46th St,17,1,4,,,,,,,,,,,
Market Table,r415,54 Carmine St_New York_ NY 10014_,2,3,4,,,,,,,,,,,
Marta,r416,29 E 29th St_New York_ NY 10016_,14,3,4,,,,,,,,,,,
Mas Farmhouse,r417,39 Downing St_New York_ NY 10014_,2,4,4,,,,,,,,,,,
Massawa,r418,1239 Amsterdam Ave_New York_ NY 10027_,5,2,4,,,,,,,,,,,
Massoni,r419,11 E 31st St_New York_ NY 10016_,7,3,4.5,,,,,,,,,,,
Match 65,r420,29 E 65th St_New York_ NY 10065_,6; 5,2,3.5,,,,,,,,,,,
Mathews Food & Drink,r421,351 Grove St_Jersey City_ NJ 07302_,2; 5,2,4,,,,,,,,,,,
Matisse,r422,924 2nd Ave_New York_ NY 10022_,6,2,4,,,,,,,,,,,
Max Soha,r423,1274 Amsterdam Ave_New York_ NY 10027_,7,2,4,,,,,,,,,,,
Maysville,r424,17 W 26th St_New York_ NY 10010_,5; 4,3,4,,,,,,,,,,,
Melba's,r425,300 W 114th St_New York_ NY 10026_,0,2,4,,,,,,,,,,,
Melt Shop,r426,135 W 50th St_New York_ NY 10020_,2,2,4,,,,,,,,,,,
Mémé Mediterranean,r427,607 10th Ave_New York_ NY 10036_,8,2,4,,,,,,,,,,,
Mercato,r428,352 W 39th St_New York_ NY 10018_,7,2,4,,,,,,,,,,,
Mermaid Oyster Bar,r429,79 MacDougal St_New York_ NY 10012_,3,2,4,,,,,,,,,,,
Method,r430,746 10th Ave_New York_ NY 10019_,9,3,4.5,,,,,,,,,,,
Mexicue,r431,160 8th Ave_New York_ NY 10011_,11; 5,2,3.5,,,,,,,,,,,
Mexicue,r432,160 8th Ave_New York_ NY 10011_,11; 5,2,3.5,,,,,,,,,,,
Mezetto,r433,161 E Houston St_New York_ NY 10002_,8,2,4,,,,,,,,,,,
Mido,r434,612 Amsterdam Ave_Bet. West 89 St and West 90 St_New York_ NY 10024_,9,2,4.5,,,,,,,,,,,
Midwinter Kitchen,r435,327 2nd Ave_New York_ NY 10003_,4,2,4.5,,,,,,,,,,,
Mighty Quinns,r436,103 2nd Ave,2,2,4,,,,,,,,,,,
Milk And Roses,r437,1110 Manhattan Ave_Brooklyn_ NY 11222_,7,2,4,,,,,,,,,,,
Minetta Tavern,r438,113 Macdougal St_New York_ NY 10012_,2; 4,3,4,,,,,,,,,,,
Miramar,r439,21 S End Ave_New York_ NY 10280_,8; 3,2,4,,,,,,,,,,,
Miscelenea,r440,63 E 4th St,11,1,5,,,,,,,,,,,
MISIRIZZI,r441,36 E 4th St_New York_ NY 10003_,7,3,5,,,,,,,,,,,
Miss Wong's,r442,8 Erie St_Jersey City_ NJ 07302_,5,2,4,,,,,,,,,,,
Mokja,r443,852 Amsterdam_New York_ NY 10025_,10,2,4,,,,,,,,,,,
Mokja,r444,1663 1st Ave_New York_ NY 10028_,10,2,4,,,,,,,,,,,
MoMo Sushi ,r445,239 Park Ave S,9,2,4,,,,,,,,,,,
Momofuku Ko,r446,8 Extra Pl_New York_ NY 10003_,2,4,4.5,,,,,,,,,,,
Momofuku Nishi,r447,232 8th Ave_New York_ NY 10011_,2,2,3.5,,,,,,,,,,,
Momofuku Ssam Bar,r448,207 2nd Ave_New York_ NY 10003_,2,3,4,,,,,,,,,,,
Momosan Ramen & Sake,r449,342 Lexington Ave_New York_ NY 10016_,16,2,4,,,,,,,,,,,
Mont Blanc 52,r450,344 W 52nd St_New York_ NY 10019_,2,,,,,,,,,,,,,
Mozzarella & Vino,r451,33 W 54th St_New York_ NY 10019_,7,2,4,,,,,,,,,,,
Mr Fong's,r452,40 Market St_New York_ NY 10002_,5,2,3.5,,,,,,,,,,,
Mr. Donahue's,r453,203 Mott St_New York_ NY 10012_,0,2,4.5,,,,,,,,,,,
Mr. Jones Supper Club,r454,Jones St_New York_ NY 10014_,9,2,5,,,,,,,,,,,
Mughlai,r455,6 Clinton St_New York_ NY 10002_,13,2,5,,,,,,,,,,,
Mulberry & Vine,r456,155 E 44th St_New York_ NY 10017_,2; 5,2,4,,,,,,,,,,,
Mulino a Vino,r457,337 W 14th St_New York_ NY 10014_,7,3,4,,,,,,,,,,,
Narcissa,r458,25 Cooper Sq_New York_ NY 10003_,2,3,4,,,,,,,,,,,
Nare Sushi,r459,115 E 57th St_New York_ NY 10022_,18,2,4,,,,,,,,,,,
Natsumi Tapas,r460,323 3rd Ave_New York_ NY 10010_,9,2,4,,,,,,,,,,,
Naya Mezze & Grill,r461,1057 2nd Ave_New York_ NY 10022_,8,2,4,,,,,,,,,,,
Nerai,r462,55 E 54th St_New York_ NY 10022_,8,3,4.5,,,,,,,,,,,
New Mizu Susi,r463,350 E 9th St,18,2,4.5,,,,,,,,,,,
Nickel & Diner,r464,1 Howard St_New York_ NY 10013_,2; 4,2,4,,,,,,,,,,,
NISI,r465,302 Bleecker St_New York_ NY 10014_,8,2,4,,,,,,,,,,,
Nobody Is Perfect,r466,235 E 4th St_New York_ NY 10009_,7,2,4,,,,,,,,,,,
Nobu 57,r467,40 W 57th St_New York_ NY 10019_,9,4,4,,,,,,,,,,,
NOMO Kitchen,r468,9 Crosby St_NOMO SOHO Hotel_New York_ NY 10013_,8; 4,2,3.5,,,,,,,,,,,
Non Solo Piada,r469,302 W 37th St_New York_ NY 10018_,7,1,5,,,,,,,,,,,
Norikoh,r470,10 E 39th St_New York_ NY 10016_,9,2,4,,,,,,,,,,,
NORMA Gastronomia Siciliana,r471,438 3rd Ave_New York_ NY 10016_,7,2,4.5,,,,,,,,,,,
Norman,r472,29 Norman Ave_Brooklyn_ NY 11222_,2; 5,2,4.5,,,,,,,,,,,
North End Grill,r473,104 N End Ave_New York_ NY 10282_,0; 5,3,4,,,,,,,,,,,
Nougatine at Jean-Georges,r474,1 Central Park W_New York_ NY 10023_,6,4,4,,,,,,,,,,,
Nyonya,r476,199 Grand St_New York_ NY 10013_,9,2,4,,,,,,,,,,,
OBAO,r477,647 9th Ave_New York_ NY 10036_,9,2,4,,,,,,,,,,,
Ocean Prime,r478,123 W 52nd St_New York_ NY 10019_,2,3,4,,,,,,,,,,,
Oceana Poke,r479,1700 Broadway_@ 53rd_New York_ NY 10019_,7,2,3.5,,,,,,,,,,,
Offside Tavern,r480,137 W 14th St_New York_ NY 10011_,5,1,4.5,,,,,,,,,,,
Oficina 1M,r481,371 Broome St_New York_ NY 10013_,7,2,4,,,,,,,,,,,
Ola vivabar,r482,453 E 78th St_New York_ NY 10075_,15; 5,2,4.5,,,,,,,,,,,
Olio e Piú,r483,3 Greenwich Ave_New York_ NY 10014_,7,2,4,,,,,,,,,,,
Omar's Mediterranean Cuisine,r484,154 E 55th St_New York_ NY 10022_,8,2,4.5,,,,,,,,,,,
On Tap,r485,10 Columbus Cir_Whole Food Market_New York_ NY 10023_,5,2,3,,,,,,,,,,,
One If By Land Two If By Sea,r486,17 Barrow St_New York_ NY 10014_,2,4,4,,,,,,,,,,,
One Star,r487,147 W 24th St_New York_ NY 10011_,5,1,4.5,,,,,,,,,,,
Ootoya Chelsea,r488,8 W 18th St_New York_ NY 10011_,9,2,4,,,,,,,,,,,
Ootoya Greenwich Village,r489,41 E 11th St_New York_ NY 10003_,9,2,4,,,,,,,,,,,
Ootoya Times Square,r490,141 W 41st St_New York_ NY 10036_,9,2,4,,,,,,,,,,,
Oramen,r491,579 6th Ave_New York_ NY 10011_,16,2,4,,,,,,,,,,,
Orso,r492,322 W 46th St_New York_ NY 10036_,7,3,4,,,,,,,,,,,
Ousia,r493,629 W 57th St_New York_ NY 10019_,8,2,4.5,,,,,,,,,,,
Out East,r494,509 6th St_New York_ NY 10009_,2,4,4,,,,,,,,,,,
Ovest Pizzoteca,r495,513 W 27th St_New York_ NY 10001_,7; 5,2,4,,,,,,,,,,,
Palma,r496,28 Cornelia St_New York_ NY 10014_,7,3,4,,,,,,,,,,,
Pampano,r497,209 E 49th St_New York_ NY 10017_,11,3,4,,,,,,,,,,,
Park Avenue Autumn/Winter/Spring/Summer,r498,360 Park Ave S_New York_ NY 10010_,2,3,4,,,,,,,,,,,
Park Avenue Tavern,r499,99 Park Ave_New York_ NY 10016_,0; 5,2,4,,,,,,,,,,,
Parker & Quinn,r500,64 W 39th St_New York_ NY 10018_,2; 5,2,4,,,,,,,,,,,
Patrizia's Pizza and Pasta,r501,462-466 2nd Ave_New York_ NY 10016_,7,2,4.5,,,,,,,,,,,
Patzeria Family & Friends,r502,311 W 48th St_New York_ NY 10036_,7,2,4.5,,,,,,,,,,,
Paul's On Times Square,r503,136 W 42nd St_Hilton Garden Inn_New York_ NY 10036_,5,2,4,,,,,,,,,,,
Pellegrino's Italian Restaurant,r504,138 Mulberry St_New York_ NY 10013_,7,2,4,,,,,,,,,,,
Pepe Giallo,r505,195 10th Ave_New York_ NY 10001_,7,2,4,,,,,,,,,,,
Pepe Rosso Social,r506,173 Mott St_New York_ NY 10013_,7,2,4,,,,,,,,,,,
Pepolino Restaurant,r507,281 W Broadway_New York_ NY 10013_,7,3,4.5,,,,,,,,,,,
Per Se,r508,10 Columbus Cir_Fl 4_Time Warner Ctr_New York_ NY 10019_,6,4,4.5,,,,,,,,,,,
Perla Cafe,r509,234 W 4th St_New York_ NY 10014_,7,2,4.5,,,,,,,,,,,
Perrine,r510,2 E 61st St_New York_ NY 10065_,6;,3,4,,,,,,,,,,,
Persepolis,r511,1407 2nd Ave_New York_ NY 10021_,8; 7,2,4,,,,,,,,,,,
Petit Poulet,r512,52 W 33rd St_New York_ NY 10001_,6,2,4,,,,,,,,,,,
Petite Abeille,r513,44 W 17th St_New York_ NY 10011_,5,2,4,,,,,,,,,,,
Piacere,r514,351 Broome St_New York_ NY 10013_,14,2,4,,,,,,,,,,,
Piccola Cucina Osteria,r515,196 Spring St_New York_ NY 10012_,7,2,4,,,,,,,,,,,
Piccolo Cafe,r516,313 Amsterdam Ave_New York_ NY 10023_,7,2,3.5,,,,,,,,,,,
Pig and Khao,r517,68 Clinton St_New York_ NY 10002_,9,2,4,,,,,,,,,,,
Pil Pil,r518,265 E 78th St_New York_ NY 10075_,4; 5,2,4,,,,,,,,,,,
Pinto Garden,r519,117 W 10th St_New York_ NY 10011_,12,2,4,,,,,,,,,,,
Pio Pio 8,r520,604 10th Ave_New York_ NY 10036_,15,2,4,,,,,,,,,,,
Pio Pio 8,r521,604 10th Ave_New York_ NY 10036_,15,2,4,,,,,,,,,,,
Piora,r522,430 Hudson St_New York_ NY 10014_,2,4,4,,,,,,,,,,,
Pizzarte,r523,69 W 55th St_New York_ NY 10019_,7,2,4,,,,,,,,,,,
PMF Pardon My French,r524,103 Ave B_New York_ NY 10009_,6,2,4,,,,,,,,,,,
Point Pleasant Deli,r525,River Rd_New York_ NY 10044_,0,,,,,,,,,,,,,
Polpette,r526,483 Amsterdam Ave_New York_ NY 10024_,7,2,4,,,,,,,,,,,
Polpette 71,r527,71 West 71st St_New York_ NY 10023_,7,2,4,,,,,,,,,,,
Ponty Bistro,r528,218 3rd Ave_New York_ NY 10003_,6,2,4,,,,,,,,,,,
POST,r529,42 Ave B_New York_ NY 10009_,0; 4,2,4.5,,,,,,,,,,,
Pretto,r530,417 Amsterdam Ave_New York_ NY 10024_,7,2,4,,,,,,,,,,,
Public Kitchen,r531,215 Chrystie St_New York_ NY 10002_,2,2,4.5,,,,,,,,,,,
Pulperia 57th,r532,151 E 57th St_New York City_ NY 10022_,15; 3; 5,2,5,,,,,,,,,,,
Pulperia UES,r533,1626 2nd Ave_New York City_ NY 10028_,15; 3; 5,2,4,,,,,,,,,,,
Pure Green,r534,33 E 33rd St,7,2,4,,,,,,,,,,,
Pure Thai Cookhouse,r535,766 9th Ave_New York_ NY 10019_,12,2,4,,,,,,,,,,,
PuTawn Local Thai Kitchen,r536,1st Avenue ( 82 & 83 St)_1584_New York_ NY 10028_,12,2,4.5,,,,,,,,,,,
Quality Meats,r537,57 W 58th St_New York_ NY 10019_,3,4,4,,,,,,,,,,,
Quan Sushi,r538,375 Broome St,9,2,3.5,,,,,,,,,,,
Rabbit House,r539,76 Forsyth St_New York_ NY 10002_,9,2,4.5,,,,,,,,,,,
Raclette,r540,511 E 12th St_New York_ NY 10009_,6,2,4,,,,,,,,,,,
Rahi,r541,60 Greenwich Ave_New York_ NY 10011_,13,3,4.5,,,,,,,,,,,
Raines Law Room at the William,r542,The William_24 E 39th St_New York_ NY 10016_,5,2,4,,,,,,,,,,,
Raku,r543,342 E 6th St_New York_ NY 10003_,9,2,4.5,,,,,,,,,,,
Raku - It's Japanese II,r544,57 W 76th St_New York_ NY 10023_,9,2,4,,,,,,,,,,,
Ramen Ishida,r545,122 Ludlow St_New York_ NY 10002_,16,2,5,,,,,,,,,,,
Rancho Mateo,r546,9011 Palisade Ave_North Bergen_ NJ 07047_,15,2,4,,,,,,,,,,,
RARE View Rooftop Chelsea,r547,152 W 26th St_New York_ NY 10001_,5,2,3.5,,,,,,,,,,,
Ravagh Persian Grill,r548,1135 1st Ave_New York_ NY 10065_,8,2,4,,,,,,,,,,,
Raymi,r549,43 W 24th St_New York_ NY 10010_,15; 4,3,4,,,,,,,,,,,
Red Poke,r550,600 9th Ave_New York_ NY 10036_,3; 9,2,4.5,,,,,,,,,,,
Réunion,r551,357 W 44th St_New York_ NY 10036_,5,2,4,,,,,,,,,,,
Ricardo Steak House,r552,2145 2nd Ave_New York_ NY 10029_,3,3,4,,,,,,,,,,,
Riko Peruvian Cuisine,r553,409 8th Ave_New York_ NY 10001_,15; 3; 5,2,4,,,,,,,,,,,
Risotteria Melotti,r554,309 E 5th St_New York_ NY 10003_,7,2,4.5,,,,,,,,,,,
Ristorante Grifone,r555,244 E 46th St_New York_ NY 10017_,7,3,4,,,,,,,,,,,
Ristorante Morini,r556,1167 Madison Ave_New York_ NY 10028_,7,3,4,,,,,,,,,,,
Riverpark,r557,450 E 29th St_New York_ NY 10016_,2; 4,3,4,,,,,,,,,,,
Riverwalk Bar & Grill,r558,425 Main St_Roosevelt Island_ NY 10044_,0; 5,2,3.5,,,,,,,,,,,
Robata,r559,3636 Prince St_Flushing_ NY 11354_,9,3,4.5,,,,,,,,,,,
Robert,r560,2 Columbus Cir_Fl 9_New York_ NY 10019_,2; 4,3,4,,,,,,,,,,,
